"Query","2020-02-10","2020-02-03 - 2020-02-09","2020-01-27 - 2020-02-02","2020-01-20 - 2020-01-26","2020-01-13 - 2020-01-19","2020-01-06 - 2020-01-12","2019-12-30 - 2020-01-05","2019-12-23 - 2019-12-29","2019-12-16 - 2019-12-22","2019-12-09 - 2019-12-15","2019-12-02 - 2019-12-08","2019-11-25 - 2019-12-01","2019-11-18 - 2019-11-24","2019-11-11 - 2019-11-17","2019-11-10"
"vk api python","0.00","4.00","3.00","3.00","1.00","0.00","0.00","1.00","3.00","1.00","3.00","4.00","0.00","1.00","0.00"
"печать нд с pdf417","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf417 3.2.4 пакет","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"vk_api python","0.00","0.00","0.00","3.00","2.00","0.00","1.00","0.00","0.00","1.00","2.00","0.00","2.00","0.00","0.00"
"python vk api","0.00","2.00","1.00","0.00","0.00","0.00","0.00","1.00","2.00","0.00","0.00","0.00","1.00","0.00","0.00"
"проверка каталога шаблонов печати permission denied печать нд с pdf417 3.2.4 пакет","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf417 3.2.4 пакет скачать 64 bit с официального сайта","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"vk_api python 3 документация","0.00","0.00","1.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00"
"python vk","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","2.00","0.00","0.00"
"activex component can't create object","0.00","4.00","3.00","2.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00"
"край земли","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"http://www.gnivc.ru печать нд с pdf417 3.2.4 пакет","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"проверка каталогов шаблонов печати печать нд с pdf417 3.2.4 пакет","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
"край земли фото","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00"
"vk api","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"карта смены дня и ночи на земле","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"python vk_api","1.00","0.00","1.00","0.00","1.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"vk api python 3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","0.00","1.00","0.00","0.00","0.00"
"vk python","0.00","0.00","1.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf417 3 2 4 пакет скачать","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"pdf417","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf417 для платформ x64","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"api vk python","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00"
"vk api python документация","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf417 3.2.4 64 бит скачать","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"activex component can't create object 429","1.00","0.00","0.00","1.00","4.00","0.00","1.00","2.00","2.00","3.00","0.00","1.00","2.00","2.00","0.00"
"ошибка 429","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"модуль печати двухмерного штрих кода pdf417","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf417 x64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"карта день ночь","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","2.00","1.00","0.00","1.00","0.00","0.00","0.00"
"pip vk_api","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"permission denied печать нд с pdf417 3.2.4 пакет","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"проверка каталога шаблонов печати permission denied печать нд с pdf417","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"api vk","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"http://www.y007.ru/1/2/msxml4+.zip","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"проверка каталога шаблонов печати открытие каталога для чтения permission denied печать нд с pdf417","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"api vk com","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"api вконтакте","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"печать нд с pdf417 3.2.4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"vk_api python 3","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00"
"вк апи","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"vk api документация","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"вк апи питон","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"граница дня и ночи","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00"
"pip vk api","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"карты ночной","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"http y007 ru 1 1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"http://y007.ru/1/1/","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"429 activex component can't create object","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","1.00","0.00","0.00","0.00"
